費目マスタ
ID,名称,種別(i:収入,o:支出,m:移動),カテゴリー(0:生活費,1:収入,3:固定費),ソート順
"1","給与収入","i","1","1"
"2","その他収入","i","1","3"
"3","主食費","o","0","10"
"4","その他食費","o","0","20"
"5","住居家具費","o","0","30"
"6","衣服費","o","0","40"
"7","教育費","o","0","50"
"8","交際費","o","0","60"
"9","教養費","o","0","70"
"10","娯楽費","o","0","80"
"11","保健衛生費","o","0","90"
"12","公共費","o","0","110"
"13","自動車費","o","0","120"
"14","その他支出","o","0","130"
"15","水道","o","3","200"
"16","電気","o","3","210"
"17","ガス","o","3","220"
"18","保険","o","3","230"
"19","家賃","o","3","240"
"20","通信","o","3","240"
"21","税金","o","3","300"
"22","社会保険費","o","3","310"
